Area,Perimeter,MajorAxisLength,MinorAxisLength,AspectRation,Eccentricity,ConvexArea,EquivDiameter,Extent,Solidity,roundness,Compactness,ShapeFactor1,ShapeFactor2,ShapeFactor3,ShapeFactor4,Class,Predict
51527,856.204,331.6249644,198.2840686,1.672474076,0.801558325,52055,256.1371,0.720576719,0.989856882,0.883263364,0.772369778,0.006435946,0.001412841,0.596555074,0.997722895,SIRA,SIRA
38670,711.562,245.5214698,200.8051418,1.222685174,0.575400165,39010,221.8922558,0.763625592,0.991284286,0.95975093,0.903759073,0.006349146,0.002612797,0.816780461,0.998665361,SEKER,SEKER
67849,1022.629,389.9148165,222.0912704,1.75565125,0.821929521,68732,293.9184068,0.750641678,0.987153,0.815299369,0.753801585,0.005746803,0.001144549,0.56821683,0.997590588,BARBUNYA,CALI
67467,1011.524,393.3314773,220.0732498,1.787275271,0.828822991,68144,293.0898367,0.739404899,0.990065156,0.828607538,0.745147169,0.005829983,0.001108703,0.555244303,0.992374412,CALI,CALI
57656,977.824,386.020136,194.6257959,1.98339657,0.863595319,59208,270.9426124,0.717355331,0.973787326,0.757762289,0.701887252,0.006695229,0.001002339,0.492645714,0.977111819,HOROZ,HOROZ
73623,1101.269,428.5121811,219.7080646,1.950370743,0.858554071,74981,306.1694221,0.754504089,0.981888745,0.762845424,0.714494093,0.005820358,0.000935673,0.510501809,0.995667792,BARBUNYA,CALI
36581,711.899,266.6283294,174.9238304,1.524253893,0.754709882,36983,215.815606,0.776963595,0.989130141,0.907044662,0.809424889,0.007288711,0.001929908,0.655168651,0.998643367,DERMASON,DERMASON
27725,612.615,228.8474164,154.6665122,1.479618394,0.737039253,28090,187.8844495,0.757637864,0.987006052,0.928338081,0.821003149,0.00825419,0.002313308,0.674046171,0.997331113,DERMASON,DERMASON
46015,775.166,277.2145631,211.5356223,1.310486433,0.646309435,46401,242.0498247,0.785372931,0.991681214,0.962320769,0.873149744,0.006024439,0.002159988,0.762390475,0.999102374,SEKER,SEKER
69816,1028.089,367.5514925,243.5373954,1.509219937,0.748978809,70868,298.1484396,0.765643849,0.9851555,0.830048372,0.811174613,0.005264574,0.001406049,0.658004253,0.993073137,BARBUNYA,CALI
44710,832.12,332.0685295,171.9583089,1.931099064,0.855477596,45234,238.5928332,0.694103766,0.988415793,0.811414217,0.718504802,0.007427165,0.001221016,0.516249151,0.996928253,HOROZ,HOROZ
63081,950.0,358.4980058,225.0158973,1.593211902,0.778485251,63792,283.4029353,0.684294455,0.988854402,0.878337091,0.790528624,0.005683138,0.00136911,0.624935505,0.995654685,BARBUNYA,CALI
61570,996.083,394.0513466,200.9737245,1.960710772,0.860163059,62653,279.9881404,0.704462243,0.982714315,0.779808494,0.7105372,0.006400054,0.001006261,0.504863112,0.989890543,HOROZ,HOROZ
67884,1089.592,423.7583854,206.0546751,2.05653371,0.873816903,69188,293.9942062,0.799915158,0.981152801,0.718537564,0.693777908,0.00624239,0.000892098,0.481327786,0.989866817,HOROZ,HOROZ
29322,625.847,223.6875615,167.0670972,1.33890853,0.664962203,29700,193.2199005,0.758164189,0.987272727,0.94073457,0.863793673,0.00762866,0.0026198,0.74613951,0.999012554,DERMASON,DERMASON
39581,717.629,237.0136344,212.803796,1.113766008,0.44029196,39918,224.4907446,0.775322716,0.991557693,0.965821047,0.947163842,0.005988066,0.002972807,0.897119344,0.999181031,SEKER,SEKER
