number,value,datetime_start,datetime_complete,duration,params_max_iters,params_n_clusters,params_pca_components,params_random_state,params_scaler,params_tol,params_use_pca,state
0,0.3113323048291178,2026-06-16 23:54:34.734956,2026-06-16 23:54:34.763214,0 days 00:00:00.028258,520,3,,239,StandardScaler,2.3682531169371455e-05,False,COMPLETE
1,0.3101952017648415,2026-06-16 23:54:34.763750,2026-06-16 23:54:34.772823,0 days 00:00:00.009073,160,2,7.0,135,MinMaxScaler,0.00018445956727541768,True,COMPLETE
2,0.31440307327970785,2026-06-16 23:54:34.773893,2026-06-16 23:54:34.801459,0 days 00:00:00.027566,694,3,10.0,601,StandardScaler,0.009496345552998841,True,COMPLETE
3,0.695597554012276,2026-06-16 23:54:34.801856,2026-06-16 23:54:34.839397,0 days 00:00:00.037541,697,4,,338,MinMaxScaler,0.0009209660995105609,False,COMPLETE
4,0.3494951684764841,2026-06-16 23:54:34.839812,2026-06-16 23:54:34.860593,0 days 00:00:00.020781,940,3,,709,MinMaxScaler,1.0184443858770928e-05,False,COMPLETE
5,0.3101952017648415,2026-06-16 23:54:34.861192,2026-06-16 23:54:34.868614,0 days 00:00:00.007422,496,2,8.0,208,MinMaxScaler,0.0018141325075962196,True,COMPLETE
6,0.31508728250932977,2026-06-16 23:54:34.869425,2026-06-16 23:54:34.887573,0 days 00:00:00.018148,782,3,,336,StandardScaler,0.007370695327495348,False,COMPLETE
7,0.25502836125794515,2026-06-16 23:54:34.888276,2026-06-16 23:54:34.934241,0 days 00:00:00.045965,744,4,7.0,541,StandardScaler,0.0026864674163525584,True,COMPLETE
8,0.34987626348232226,2026-06-16 23:54:34.934642,2026-06-16 23:54:34.956190,0 days 00:00:00.021548,296,3,6.0,478,MinMaxScaler,0.0002800448912118258,True,COMPLETE
9,0.25502836125794515,2026-06-16 23:54:34.956965,2026-06-16 23:54:35.031473,0 days 00:00:00.074508,331,4,,145,StandardScaler,0.0007223174646271306,False,COMPLETE
10,0.695597554012276,2026-06-16 23:54:35.031918,2026-06-16 23:54:35.062406,0 days 00:00:00.030488,982,4,,1000,MinMaxScaler,6.425181805998726e-05,False,COMPLETE
11,0.695597554012276,2026-06-16 23:54:35.062888,2026-06-16 23:54:35.103353,0 days 00:00:00.040465,968,4,,974,MinMaxScaler,9.383097866088615e-05,False,COMPLETE
12,0.6965587683832416,2026-06-16 23:54:35.103888,2026-06-16 23:54:35.185498,0 days 00:00:00.081610,857,4,,990,MinMaxScaler,5.746751984502186e-05,False,COMPLETE
13,0.6985376096833548,2026-06-16 23:54:35.186086,2026-06-16 23:54:35.235490,0 days 00:00:00.049404,572,4,,7,MinMaxScaler,0.000644649539434322,False,COMPLETE
