number,value,datetime_start,datetime_complete,duration,params_eps,params_min_samples,params_pca_components,params_scaler,params_use_pca,state
0,0.0,2026-06-17 01:56:27.876855,2026-06-17 01:56:29.449915,0 days 00:00:01.573060,4.672973136197572,20,,StandardScaler,False,COMPLETE
1,0.37300807158300964,2026-06-17 01:56:29.450462,2026-06-17 01:56:29.996734,0 days 00:00:00.546272,0.20438916108813726,9,8.0,MinMaxScaler,True,COMPLETE
2,0.0008164882756452089,2026-06-17 01:56:29.997193,2026-06-17 01:56:30.273081,0 days 00:00:00.275888,0.23189169929465053,9,3.0,StandardScaler,True,COMPLETE
3,0.0,2026-06-17 01:56:30.273591,2026-06-17 01:56:32.212293,0 days 00:00:01.938702,1.2538441417707724,3,9.0,MinMaxScaler,True,COMPLETE
4,0.006687554128328654,2026-06-17 01:56:32.212783,2026-06-17 01:56:33.287955,0 days 00:00:01.075172,2.642869617218254,14,,StandardScaler,False,COMPLETE
5,0.010653408692643003,2026-06-17 01:56:33.288405,2026-06-17 01:56:34.205525,0 days 00:00:00.917120,2.3152534192558254,11,,StandardScaler,False,COMPLETE
6,0.0004362376097006438,2026-06-17 01:56:34.206116,2026-06-17 01:56:35.118878,0 days 00:00:00.912762,3.187886108768968,8,7.0,StandardScaler,True,COMPLETE
7,0.0,2026-06-17 01:56:35.119343,2026-06-17 01:56:37.611071,0 days 00:00:02.491728,2.1361887610661605,12,,MinMaxScaler,False,COMPLETE
8,0.01209759420122021,2026-06-17 01:56:37.611477,2026-06-17 01:56:38.625608,0 days 00:00:01.014131,2.101957075913658,7,,StandardScaler,False,COMPLETE
9,0.0,2026-06-17 01:56:38.626061,2026-06-17 01:56:41.114740,0 days 00:00:02.488679,4.384509987170223,17,,MinMaxScaler,False,COMPLETE
10,0.3097780326833837,2026-06-17 01:56:41.115185,2026-06-17 01:56:41.481206,0 days 00:00:00.366021,0.1497919635511888,2,2.0,MinMaxScaler,True,COMPLETE
11,0.339589087578623,2026-06-17 01:56:41.481696,2026-06-17 01:56:41.819077,0 days 00:00:00.337381,0.1107445869853307,2,2.0,MinMaxScaler,True,COMPLETE
12,0.0,2026-06-17 01:56:41.819839,2026-06-17 01:56:43.366106,0 days 00:00:01.546267,0.9726339905859605,5,6.0,MinMaxScaler,True,COMPLETE
13,0.0,2026-06-17 01:56:43.366698,2026-06-17 01:56:44.970493,0 days 00:00:01.603795,0.9514033187856663,5,10.0,MinMaxScaler,True,COMPLETE
14,0.2223322285733797,2026-06-17 01:56:44.971063,2026-06-17 01:56:45.385182,0 days 00:00:00.414119,0.11592492231341711,14,5.0,MinMaxScaler,True,COMPLETE
15,0.0,2026-06-17 01:56:45.385617,2026-06-17 01:56:47.195968,0 days 00:00:01.810351,1.371990899876744,5,4.0,MinMaxScaler,True,COMPLETE
