number,value,datetime_start,datetime_complete,duration,params_cycles,params_label_smoothing,params_lr,params_mc_cycles,params_mc_threshold,params_reconstruct_weight,state
0,0.8641384895535135,2026-06-15 23:31:36.402884,2026-06-15 23:31:41.699809,0 days 00:00:05.296925,73,0.011335035385406922,0.00217053136251011,17,0.7399904601238682,0.2968861236702201,COMPLETE
1,0.0,2026-06-15 23:31:41.700466,2026-06-15 23:31:46.753830,0 days 00:00:05.053364,137,0.29528271776173143,0.001306458643114002,12,0.9101525275443012,0.4952749243821125,COMPLETE
2,0.8574214837430907,2026-06-15 23:31:46.754382,2026-06-15 23:31:50.369576,0 days 00:00:03.615194,101,0.01616914124493939,0.004199538586207987,12,0.8625013227935154,0.1946297220597537,COMPLETE
3,0.8134902062749176,2026-06-15 23:31:50.370122,2026-06-15 23:31:54.050212,0 days 00:00:03.680090,91,0.1580849531988049,0.0003797343267268352,27,0.8418773390125487,0.46969140552884525,COMPLETE
4,0.8397674881817228,2026-06-15 23:31:54.050765,2026-06-15 23:32:00.828464,0 days 00:00:06.777699,181,0.17164337062068966,0.0006052314886332433,20,0.5052611247274243,0.2648767735132244,COMPLETE
5,0.8398149796760592,2026-06-15 23:32:00.829089,2026-06-15 23:32:06.158500,0 days 00:00:05.329411,151,0.07391051654769906,0.0030090644661516985,20,0.7213677149820579,0.0759278007148744,COMPLETE
6,0.682830546697081,2026-06-15 23:32:06.159162,2026-06-15 23:32:12.534355,0 days 00:00:06.375193,175,0.04452748969537838,0.00011459247546527946,22,0.6916289983404391,0.2739919819009413,COMPLETE
7,0.7367802805252589,2026-06-15 23:32:12.534924,2026-06-15 23:32:16.402722,0 days 00:00:03.867798,99,0.16808292755147508,0.000228957639038877,30,0.8365917334579407,0.3922547994860184,COMPLETE
8,0.8584638763599917,2026-06-15 23:32:16.403309,2026-06-15 23:32:19.039894,0 days 00:00:02.636585,63,0.25605568631338277,0.002572531312834667,17,0.584936550677632,0.34487420666626256,COMPLETE
9,0.7759878304130594,2026-06-15 23:32:19.040507,2026-06-15 23:32:24.261334,0 days 00:00:05.220827,144,0.1181510322242712,0.00016834600741105795,18,0.9068699420536397,0.2257723210545992,COMPLETE
10,0.0,2026-06-15 23:32:24.261946,2026-06-15 23:32:26.445510,0 days 00:00:02.183564,58,0.228551684550744,0.00952931727059984,25,0.9726328360723512,0.0554046222999422,COMPLETE
11,0.852546410456438,2026-06-15 23:32:26.446088,2026-06-15 23:32:28.598440,0 days 00:00:02.152352,52,0.29560860714855075,0.0014730763359947115,15,0.5557698420341759,0.35710850768653,COMPLETE
12,0.8404066234320959,2026-06-15 23:32:28.598996,2026-06-15 23:32:31.468964,0 days 00:00:02.869968,78,0.2324776956945041,0.0028316098235825603,16,0.6512435995441804,0.34760146967598654,COMPLETE
13,0.8460748905289177,2026-06-15 23:32:31.469548,2026-06-15 23:32:34.315038,0 days 00:00:02.845490,76,0.09521378199034257,0.001357989129521714,15,0.6152179987625974,0.30863648950503303,COMPLETE
14,0.843708939229545,2026-06-15 23:32:34.315716,2026-06-15 23:32:38.666412,0 days 00:00:04.350696,118,0.22124810672526718,0.007948532005161973,10,0.7716497385525848,0.4170343119417086,COMPLETE
15,0.806042122933052,2026-06-15 23:32:38.667013,2026-06-15 23:32:41.211104,0 days 00:00:02.544091,69,0.001487630311380439,0.0007324055727590834,22,0.7687202325482628,0.18098196743352946,COMPLETE
16,0.8616497389737907,2026-06-15 23:32:41.211646,2026-06-15 23:32:43.278311,0 days 00:00:02.066665,50,0.26144852960835435,0.004746958223329659,17,0.5914558196533029,0.13593488251853472,COMPLETE
17,0.8453537347001295,2026-06-15 23:32:43.278860,2026-06-15 23:32:45.344657,0 days 00:00:02.065797,51,0.11644657018951851,0.004827266357110054,13,0.5111749191523227,0.1306342325894042,COMPLETE
18,0.8552214697784535,2026-06-15 23:32:45.345233,2026-06-15 23:32:48.684687,0 days 00:00:03.339454,85,0.051573523730768345,0.00556674794508246,19,0.6656773159740312,0.12444009986017227,COMPLETE
19,0.8512141272514725,2026-06-15 23:32:48.685265,2026-06-15 23:32:52.706074,0 days 00:00:04.020809,115,0.1964922646390111,0.001986381810036412,22,0.7484562565128842,0.1321507499583267,COMPLETE
20,0.8352318332980533,2026-06-15 23:32:52.706681,2026-06-15 23:33:00.086169,0 days 00:00:07.379488,200,0.13097893771346994,0.00562618216916683,14,0.6208645449014925,0.2268510656896424,COMPLETE
21,0.8672677689110724,2026-06-15 23:33:00.086855,2026-06-15 23:33:02.515376,0 days 00:00:02.428521,65,0.25638344955959036,0.002366938645456127,17,0.5759960645027199,0.31646625048252625,COMPLETE
22,0.8485928563532376,2026-06-15 23:33:02.516053,2026-06-15 23:33:05.334453,0 days 00:00:02.818400,68,0.25786494159507656,0.0009376983539140277,17,0.5532558591969833,0.2971340600716038,COMPLETE
23,0.8622515805744178,2026-06-15 23:33:05.335176,2026-06-15 23:33:08.374416,0 days 00:00:03.039240,83,0.2648154330804465,0.0037406424471215782,19,0.587697036132812,0.4030466118149692,COMPLETE
24,0.8433936198851543,2026-06-15 23:33:08.374994,2026-06-15 23:33:12.333128,0 days 00:00:03.958134,104,0.2013952949790079,0.0019696450778986514,20,0.5455568137345967,0.42796078557784467,COMPLETE
25,0.8482991456818236,2026-06-15 23:33:12.334125,2026-06-15 23:33:15.735119,0 days 00:00:03.400994,83,0.27696807599504797,0.003448021988122145,24,0.6985445716464633,0.390022775887308,COMPLETE
26,0.8429358051725788,2026-06-15 23:33:15.735710,2026-06-15 23:33:19.938574,0 days 00:00:04.202864,121,0.19518189107847503,0.0019237952012075385,19,0.6492380272951537,0.31647049793448184,COMPLETE
27,0.838653323049642,2026-06-15 23:33:19.939247,2026-06-15 23:33:23.063289,0 days 00:00:03.124042,93,0.14152387184235715,0.001035366911413379,10,0.8068688557763813,0.4461444611868393,COMPLETE
28,0.8468389302249074,2026-06-15 23:33:23.064009,2026-06-15 23:33:25.617113,0 days 00:00:02.553104,72,0.08759229810927399,0.007333721652481196,15,0.6060409742420189,0.367344201594043,COMPLETE
29,0.0,2026-06-15 23:33:25.617807,2026-06-15 23:33:30.041094,0 days 00:00:04.423287,130,0.2879897082478116,0.0020857343648976426,12,0.9798493409354119,0.47657736324908406,COMPLETE
30,0.8457635821904782,2026-06-15 23:33:30.041670,2026-06-15 23:33:32.587519,0 days 00:00:02.545849,63,0.24187737308004112,0.0038387518640266424,24,0.7251145449961961,0.2557412110620077,COMPLETE
