number,value,datetime_start,datetime_complete,duration,params_energy_T,params_energy_threshold,params_mc_cycles,params_mc_threshold,params_method,params_model_name,params_temp_T,params_temp_threshold,state
0,0.45948580511961257,2026-06-15 23:07:35.109203,2026-06-15 23:07:35.172902,0 days 00:00:00.063699,,,7.0,0.6594172798200845,MCDropout,normal,,,COMPLETE
1,0.0,2026-06-15 23:07:35.173443,2026-06-15 23:07:35.178120,0 days 00:00:00.004677,,,,,Temperature,normal,3.1559650779355426,0.8259369212951126,COMPLETE
2,0.0,2026-06-15 23:07:35.178629,2026-06-15 23:07:35.186251,0 days 00:00:00.007622,,,,,Temperature,CRF,9.237617402324247,0.8614268276085824,COMPLETE
3,0.5836802318438379,2026-06-15 23:07:35.189300,2026-06-15 23:07:35.330141,0 days 00:00:00.140841,,,16.0,0.8449342089342331,MCDropout,normal,,,COMPLETE
4,0.5982812961025723,2026-06-15 23:07:35.330662,2026-06-15 23:07:35.372692,0 days 00:00:00.042030,5.958522128212702,-7.056200607727895,,,Energy,Mix,,,COMPLETE
5,0.0,2026-06-15 23:07:35.373208,2026-06-15 23:07:35.380912,0 days 00:00:00.007704,,,,,Temperature,CRF,3.8596662617489064,0.9666956211204737,COMPLETE
6,0.0,2026-06-15 23:07:35.381393,2026-06-15 23:07:35.391035,0 days 00:00:00.009642,0.5250977664469245,-13.833919465346806,,,Energy,CRF,,,COMPLETE
7,0.0,2026-06-15 23:07:35.391504,2026-06-15 23:07:35.397530,0 days 00:00:00.006026,,,,,Temperature,normal,9.927801982049992,0.86983545791489,COMPLETE
8,0.704767501741445,2026-06-15 23:07:35.398032,2026-06-15 23:07:35.414671,0 days 00:00:00.016639,5.110670683764314,-4.490491657113727,,,Energy,CRF,,,COMPLETE
9,0.7098456341435411,2026-06-15 23:07:35.415152,2026-06-15 23:07:35.461968,0 days 00:00:00.046816,,,,,Temperature,Mix,0.8756750350590988,0.8373714969349855,COMPLETE
10,0.6199637889201699,2026-06-15 23:07:35.462449,2026-06-15 23:07:35.504963,0 days 00:00:00.042514,,,,,Temperature,Mix,0.6471539029274327,0.5564961075061312,COMPLETE
11,0.5982812961025723,2026-06-15 23:07:35.505567,2026-06-15 23:07:35.559946,0 days 00:00:00.054379,9.792996982203661,4.5954176510634035,,,Energy,Mix,,,COMPLETE
12,0.5982812961025723,2026-06-15 23:07:35.560520,2026-06-15 23:07:35.605504,0 days 00:00:00.044984,2.927982582576548,2.597938381073506,,,Energy,Mix,,,COMPLETE
13,0.0,2026-06-15 23:07:35.605990,2026-06-15 23:07:35.618064,0 days 00:00:00.012074,6.701735749594544,-17.45459333996985,,,Energy,CRF,,,COMPLETE
14,0.6456022031783448,2026-06-15 23:07:35.618652,2026-06-15 23:07:35.920360,0 days 00:00:00.301708,,,30.0,0.5235770177482755,MCDropout,Mix,,,COMPLETE
15,0.0,2026-06-15 23:07:35.920860,2026-06-15 23:07:35.929331,0 days 00:00:00.008471,,,,,Temperature,CRF,6.209823077009594,0.6111561097967626,COMPLETE
16,0.5982812961025723,2026-06-15 23:07:35.929748,2026-06-15 23:07:35.973593,0 days 00:00:00.043845,4.640207325150914,-5.272782692610357,,,Energy,Mix,,,COMPLETE
