Area,Perimeter,MajorAxisLength,MinorAxisLength,AspectRation,Eccentricity,ConvexArea,EquivDiameter,Extent,Solidity,roundness,Compactness,ShapeFactor1,ShapeFactor2,ShapeFactor3,ShapeFactor4,Class
45278,771.915,275.8822277,209.2012554,1.318740784,0.651906755,45666,240.1036029,0.79355732,0.991503526,0.954900539,0.870311962,0.006093075,0.002156334,0.757442911,0.998870859,SEKER
49854,843.916,307.608677,207.3586578,1.483461941,0.738641137,50533,251.9446055,0.697005285,0.986563236,0.879653088,0.819042584,0.00617019,0.001712791,0.670830754,0.995151892,SIRA
69993,1026.528,398.0416646,227.8185837,1.747186986,0.820010425,72098,298.5261386,0.679840707,0.970803628,0.834685507,0.749987163,0.005686878,0.001109862,0.562480744,0.982759036,CALI
42418,780.397,288.3388968,188.1794772,1.532254745,0.757674189,42956,232.3968051,0.742664052,0.987475556,0.87524345,0.805984928,0.00679756,0.001769459,0.649611705,0.995370617,SIRA
62296,970.321,376.031819,211.9689307,1.77399498,0.825979979,63057,281.6340368,0.81117752,0.987931554,0.831455795,0.748963313,0.006036211,0.001171619,0.560946044,0.995115465,CALI
73494,1035.962,398.3829604,237.2574441,1.6791168,0.803317363,74785,305.901074,0.793097867,0.98273718,0.860546016,0.767856822,0.005420619,0.001162384,0.5896041,0.990014149,CALI
46009,798.716,287.505734,203.9274163,1.409843459,0.704908141,46553,242.0340435,0.78642486,0.988314394,0.906291463,0.841840753,0.006248902,0.001935991,0.708695853,0.999150212,SEKER
54160,929.492,349.4594503,202.9347314,1.722028791,0.81411022,55623,262.5997977,0.749505266,0.973697931,0.787765954,0.75144569,0.006452353,0.001269078,0.564670625,0.972379074,HOROZ
32942,673.88,244.1862928,172.2080371,1.417972686,0.708976404,33337,204.8000417,0.727581942,0.988151303,0.911579799,0.838704087,0.007412613,0.002262487,0.703424545,0.997436791,DERMASON
43672,754.739,255.2284541,218.1415993,1.170012757,0.519136186,44066,235.8069494,0.771453807,0.991058866,0.963428215,0.92390541,0.005844213,0.002626732,0.853601206,0.998724301,SEKER
74722,1065.27,410.8183629,234.1510759,1.754501282,0.821670681,76147,308.446114,0.771435356,0.981286196,0.827444662,0.750808975,0.005497957,0.001077703,0.563714117,0.989037141,CALI
41117,734.27,248.8671551,210.5372225,1.182057748,0.533210888,41527,228.8051362,0.775792453,0.990126905,0.958340219,0.919386635,0.006052658,0.002667587,0.845271784,0.999160061,SEKER
38426,711.412,246.6966084,198.5557555,1.242455087,0.593467347,38799,221.1911001,0.752094261,0.99038635,0.954097306,0.89661184,0.006420044,0.002559385,0.803912792,0.998825538,SEKER
23191,573.695,202.592623,146.1939329,1.385779963,0.69229429,23615,171.8362543,0.704422575,0.98204531,0.885456459,0.848186137,0.00873583,0.002789001,0.719419723,0.996957437,DERMASON
50453,853.419,326.795856,197.653895,1.653374228,0.796359361,50995,253.453654,0.684646909,0.989371507,0.870506953,0.775571812,0.006477233,0.001445631,0.601511635,0.994523835,SIRA
49611,845.045,328.3953204,193.3481046,1.698466717,0.808303297,50219,251.3298372,0.757604911,0.987893029,0.873027999,0.765327097,0.006619405,0.001400835,0.585725565,0.994835377,SIRA
87415,1134.346,442.0689702,253.332608,1.745014089,0.819512522,88262,333.6168983,0.790649506,0.990403571,0.853698932,0.754671603,0.005057129,0.001011849,0.569529228,0.993836527,CALI
34474,672.3,225.6494093,194.6503481,1.159255102,0.505847536,34774,209.5081384,0.793308174,0.991372865,0.958462926,0.92846748,0.006545495,0.003000469,0.862051862,0.999338019,SEKER
38089,732.64,259.0023968,187.6696203,1.380097623,0.689183949,38574,220.2190296,0.713851978,0.987426764,0.891719333,0.850258656,0.006799926,0.002192241,0.722939781,0.997727474,SIRA
46091,809.128,306.9268149,191.5446012,1.602377791,0.781366398,46535,242.2496313,0.788608288,0.990458794,0.884690847,0.789274901,0.006659149,0.001594086,0.622954869,0.998209046,SIRA
